Employee ID,Name,Department,Country,Salary
1,Employee 1,Management,Canada,116116.89
2,Employee 2,Sales,Australia,121059.78
3,Employee 3,Finance,Mexico,80586.27
4,Employee 4,IT,USA,99454.38
5,Employee 5,Sales,Japan,62662.93
6,Employee 6,HR,Australia,64794.53
7,Employee 7,HR,Australia,106472.12
8,Employee 8,Operations,Mexico,71467.77
9,Employee 9,Finance,UK,104456.25
10,Employee 10,Operations,Australia,97087.05
11,Employee 11,Sales,USA,55520.76
12,Employee 12,Marketing,India,148703.75
13,Employee 13,HR,Australia,49709.21
14,Employee 14,Finance,Canada,42998.77
15,Employee 15,Sales,UK,133864.29
16,Employee 16,IT,Japan,148553.03
17,Employee 17,HR,India,136760.28
18,Employee 18,Operations,India,135006.81
19,Employee 19,Management,China,87568.08
20,Employee 20,Operations,UK,86133.17
21,Employee 21,Finance,France,142534.79
22,Employee 22,Management,France,76328.29
23,Employee 23,Sales,Canada,75075.12
24,Employee 24,Operations,Germany,89980.84
25,Employee 25,Marketing,USA,83068.73
26,Employee 26,Management,India,57054.77
27,Employee 27,Finance,Canada,64294.27
28,Employee 28,Management,Germany,59555.81
29,Employee 29,IT,Australia,59510.74
30,Employee 30,IT,France,97591.86
31,Employee 31,Finance,UK,64857.72
32,Employee 32,Operations,China,50055.63
33,Employee 33,Sales,UK,124913.83
34,Employee 34,Marketing,Japan,147267.41
35,Employee 35,Marketing,China,108864.72
36,Employee 36,Sales,Canada,142767.93
37,Employee 37,Management,USA,124622.41
38,Employee 38,Operations,USA,129151.3
39,Employee 39,HR,Germany,149286.61
40,Employee 40,IT,China,114023.86
41,Employee 41,IT,India,147343.39
42,Employee 42,Operations,Canada,143678.68
43,Employee 43,IT,USA,144914.29
44,Employee 44,Sales,UK,87763.78
45,Employee 45,Operations,Mexico,66763.52
46,Employee 46,IT,UK,97751.7
47,Employee 47,Operations,Mexico,83399.45
48,Employee 48,Sales,USA,52027.72
49,Employee 49,Marketing,USA,141393.72
50,Employee 50,Operations,Canada,149533.81
51,Employee 51,HR,Japan,42811.26
52,Employee 52,Management,China,132139.05
53,Employee 53,Sales,China,130227.49
54,Employee 54,Finance,UK,77281.28
55,Employee 55,Operations,Canada,148454.44
56,Employee 56,IT,Mexico,123170.58
57,Employee 57,IT,Japan,83193.23
58,Employee 58,HR,India,97369.82
59,Employee 59,Management,China,137428.82
60,Employee 60,Marketing,Japan,73391.14
61,Employee 61,Marketing,Australia,94512.05
62,Employee 62,Marketing,Australia,147699.4
63,Employee 63,Management,Canada,133052.56
64,Employee 64,Management,USA,117539.63
65,Employee 65,IT,Australia,145739.94
66,Employee 66,Finance,Australia,127352.52
67,Employee 67,Finance,China,82356.45
68,Employee 68,Operations,Japan,74190.66
69,Employee 69,Sales,UK,113102.32
70,Employee 70,Finance,UK,106004.48
71,Employee 71,Marketing,India,41679.07
72,Employee 72,Sales,UK,146629.99
73,Employee 73,Sales,China,72505.8
74,Employee 74,Sales,Germany,108264.25
75,Employee 75,Marketing,Japan,107218.8
76,Employee 76,IT,France,62164.74
77,Employee 77,Management,Australia,57186.42
78,Employee 78,Marketing,USA,76495.1
79,Employee 79,Marketing,India,102807.09
80,Employee 80,IT,France,117193.38
81,Employee 81,HR,Australia,130272.74
82,Employee 82,HR,India,43630.9
83,Employee 83,Marketing,USA,138556.95
84,Employee 84,IT,UK,82400.5
85,Employee 85,Marketing,Canada,78128.92
86,Employee 86,Operations,Canada,124286.8
87,Employee 87,Operations,UK,73117.41
88,Employee 88,IT,Japan,101483.22
89,Employee 89,HR,France,98253.67
90,Employee 90,Marketing,Japan,100854.68
