First Name,Last Name,Email,Phone,Gender,Department,Job Title,Years Of Experience,Salary
Diane,Carter,dianecarter1345@slingacademy.com,881.633.0107,female,Human Resource,HR Manager,13,11500
Brenda,Fisher,brendafisher3114@slingacademy.com,001-574-564-4648,female,Product,Project Manager,14,17000
Michael,Sharp,michaelsharp9813@slingacademy.com,(848)212-0230,male,Product,Project Manager,12,16000
George,Mckenzie,georgemckenzie12490@slingacademy.com,(843)416-2489,male,Product,Designer,15,15500
Kelly,Smith,kellysmith13393@slingacademy.com,-4775,female,Human Resource,HR Manager,12,11000
Nicole,Jimenez,nicolejimenez17569@slingacademy.com,001-535-827-3787x317,female,Product,Machine Learning Engineer,13,11500
Michael,Padilla,michaelpadilla21474@slingacademy.com,(787)446-1738,male,Product,Designer,14,12000
Danielle,Reyes,daniellereyes28875@slingacademy.com,(725)355-0896x3876,female,Product,Web Developer,15,13500
Brian,Kirby,briankirby29151@slingacademy.com,458.110.0220x9710,male,Product,Project Manager,14,16000
Tammy,Walker,tammywalker30764@slingacademy.com,+1-810-034-9706x602,female,Product,Mobile Developer,14,14000
Terry,Parker,terryparker32794@slingacademy.com,255.599.0102,male,Product,Mobile Developer,13,13500
Dawn,Pham,dawnpham34617@slingacademy.com,(106)836-9118x102,female,Product,Web Developer,14,14000
David,Perry,davidperry37212@slingacademy.com,+1-921-685-9612x0086,male,Product,Machine Learning Engineer,11,13500
Claire,Wagner,clairewagner43632@slingacademy.com,001-038-830-2184x508,female,Human Resource,Designer,12,14000
Brett,Friedman,brettfriedman45278@slingacademy.com,+1-548-885-3476x195,male,Human Resource,HR Manager,15,13500
Jason,Morris,jasonmorris47690@slingacademy.com,001-588-064-2677x4053,male,Product,Designer,13,13500
Jesse,Mcdaniel,jessemcdaniel48658@slingacademy.com,600-434-1206x901,male,Product,Tester,12,13000
Jennifer,Boyd,jenniferboyd52833@slingacademy.com,001-199-903-4307x52539,female,Human Resource,Mobile Developer,15,13500
Tiffany,Novak,tiffanynovak55904@slingacademy.com,528-213-5280x73418,female,Product,Machine Learning Engineer,13,11500
Sophia,Coleman,sophiacoleman56149@slingacademy.com,101.121.4803x8420,female,Product,Web Developer,12,11000
Amanda,Thomas,amandathomas62534@slingacademy.com,001-629-462-1944,female,Product,DevOps Engineer,14,14000
Justin,Rhodes,justinrhodes65742@slingacademy.com,001-482-958-2236x124,male,Human Resource,HR Manager,14,14000
James,Phillips,jamesphillips68644@slingacademy.com,(733)967-0336,male,Human Resource,HR Manager,15,12500
Philip,Thomas,philipthomas69550@slingacademy.com,592-756-5695x9778,male,Product,Machine Learning Engineer,13,14500
David,Walker,davidwalker70948@slingacademy.com,+1-173-846-6935x7118,male,Product,Tester,14,13000
Stephen,Diaz,stephendiaz73743@slingacademy.com,110.987.1187x01990,male,Product,Web Developer,14,13000
Eugene,Diaz,eugenediaz77404@slingacademy.com,625.556.6039x715,male,Product,DevOps Engineer,12,13000
Yvonne,Bass,yvonnebass84561@slingacademy.com,+1-872-139-6739x9455,female,Product,Mobile Developer,12,12000
James,Jones,jamesjones85233@slingacademy.com,001-039-712-8015,male,Product,Tester,15,13500
Michael,Rivera,michaelrivera87445@slingacademy.com,243-399-1129,male,Product,Web Developer,15,13500
Angela,Morales,angelamorales88984@slingacademy.com,(340)684-6223x44918,female,Product,Machine Learning Engineer,15,15500
